,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
507,20480500000185,"BRICOFLEX, IMPORTACAO E EXPORTACAO, COMERCIO DE ARTIGOS PROFISSIONAIS E UTILIDADES DOMESTICAS S.A.",3106705,1726.2058823529412,11659.911764705883,164395498,572615342
508,23045951000182,GPM TECNOLOGIA LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
509,19062870000113,JM FERRAMENTARIA LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
510,20538079000116,JUDA TRANSPORTES E COMERCIO DE PECAS LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
511,34829927000150,MG FRUIT COMERCIAL EXPORTADORA DE PRODUTOS AGRICOLAS EIRELI,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
512,15388942000166,MGV DISTRIBUIDORA DE FERRAGENS E PARAFUSOS LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
513,10850941000178,OPCAO INDUSTRIAL AUTOMACAO E SUPRIMENTOS EIRELI,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
514,27744733000197,OPUSPLAST INDUSTRIA INJETORA DE PLASTICOS - EIRELI,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
515,26761839000136,PARIS DECOR COMERCIO E IMPORTACAO EIRELI,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
516,32236458000130,PET ANEST DISTRIBUIDORA LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
517,34274233002571,PETROBRAS DISTRIBUIDORA SA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
518,18354990000121,PRO - EFICIENCIA SOLUCAO PARA AGRONEGOCIOS S.A.,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
519,15348666000102,SANEAR BRASIL PRODUTOS E SERVICOS LTDA,3106705,1726.2058823529412,11659.911764705883,164395498,572615342
